Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:02:20,Total de registros:20,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TPRIATV,IDIATV,NUMBER,,,"22,00","10,00","0,00",N,1,,,"15.321,00",C102,C3023927,"0,00","0,00","1,00",30/10/2025 05:30,"15.321,00",,,YES,NO,"5,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRIATV,IDIPROC,NUMBER,,,"22,00","10,00","0,00",N,2,,,"11.952,00",C102,C302183E,"0,00","0,00","1,00",30/10/2025 05:30,"15.321,00",,,YES,NO,"5,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRIATV,IDEFX,NUMBER,,,"22,00","10,00","0,00",N,3,,,"31,00",C108,C2052C,"0,00","0,00","31,00",30/10/2025 05:30,"15.321,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPRIATV,IDEXECWFLOW,VARCHAR2,,,"100,00",,,N,4,,,"12.744,00",30,3938393331,"0,00","0,00","254,00",30/10/2025 05:30,"15.321,00",CHAR_CS,100,YES,NO,"7,00","100,00",B,NO,YES,HEIGHT BALANCED,NO,NO,,,,USING_NLS_COMP
SATISTST,TPRIATV,CODWCP,NUMBER,,,"22,00","10,00","0,00",Y,5,,,"10,00",C102,C136,"0,00","12.705,00","10,00",30/10/2025 05:30,"2.616,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPRIATV,DHINCLUSAO,DATE,,,"7,00",,,N,6,,,"12.089,00",787A0404091C16,787D0717103705,"0,00","0,00","1,00",30/10/2025 05:30,"15.321,00",,,YES,NO,"8,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRIATV,CODEXEC,NUMBER,,,"22,00","10,00","0,00",Y,7,,,"6,00",80,C142,"0,00","3.005,00","6,00",30/10/2025 05:30,"12.316,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPRIATV,DHACEITE,DATE,,,"7,00",,,Y,8,,,"8.227,00",787A0404091F2C,787D0A0F130403,"0,00","3.005,00","1,00",30/10/2025 05:30,"12.316,00",,,YES,NO,"7,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRIATV,DHINICIO,DATE,,,"7,00",,,Y,9,,,"8.523,00",787A0404091F2C,787D0A0F130403,"0,00","3.011,00","1,00",30/10/2025 05:30,"12.310,00",,,YES,NO,"7,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRIATV,DHFINAL,DATE,,,"7,00",,,Y,10,,,"12.175,00",787A04040F3509,787D0717110309,"0,00","3.144,00","1,00",30/10/2025 05:30,"12.177,00",,,YES,NO,"7,00","0,00",,NO,YES,NONE,NO,NO,,,,
