Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:07:50,Total de registros:26,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TPRIPROC,IDIPROC,NUMBER,,,"22,00","10,00","0,00",N,1,,,"12.084,00",C102,C302183F,"0,00","0,00","1,00",30/10/2025 05:30,"12.084,00",,,YES,NO,"5,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRIPROC,IDPROC,NUMBER,,,"22,00","10,00","0,00",N,2,,,"20,00",C104,C11F,"0,00","0,00","20,00",30/10/2025 05:30,"12.084,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPRIPROC,DHINST,DATE,,,"7,00",,,Y,3,,,"9.251,00",787A0404091C17,787D0717103706,"0,00","168,00","1,00",30/10/2025 05:30,"11.916,00",,,YES,NO,"8,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRIPROC,CODPLP,NUMBER,,,"22,00","10,00","0,00",N,4,,,"2,00",C102,C103,"0,00","0,00","2,00",30/10/2025 05:30,"12.084,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPRIPROC,IDWFLOW,VARCHAR2,,,"100,00",,,Y,5,,,"11.916,00",313030303031,3938393137,"0,00","168,00","254,00",30/10/2025 05:30,"11.916,00",CHAR_CS,100,YES,NO,"7,00","100,00",B,NO,YES,HEIGHT BALANCED,NO,NO,,,,USING_NLS_COMP
SATISTST,TPRIPROC,STATUSPROC,VARCHAR2,,,"2,00",,,Y,6,"3,00",'R',"4,00",41,52,"0,00","0,00","4,00",30/10/2025 05:30,"12.084,00",CHAR_CS,2,YES,NO,"2,00","2,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPRIPROC,DHINC,DATE,,,"7,00",,,N,7,"8,00",SYSDATE,"9.548,00",787A0404083C35,787D0A0D0D2828,"0,00","0,00","1,00",30/10/2025 05:30,"12.084,00",,,YES,NO,"8,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRIPROC,CODUSUINC,NUMBER,,,"22,00","5,00","0,00",Y,8,,,"7,00",80,C142,"0,00","0,00","7,00",30/10/2025 05:30,"12.084,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPRIPROC,PRIORIDADE,NUMBER,,,"22,00","10,00","0,00",Y,9,,,"2.247,00",C20248,C21912,"0,00","0,00","254,00",30/10/2025 05:30,"12.084,00",,,YES,NO,"4,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TPRIPROC,DHTERMINO,DATE,,,"7,00",,,Y,10,,,"11.861,00",787A04040F3509,787D0717110309,"0,00","197,00","1,00",30/10/2025 05:30,"11.887,00",,,YES,NO,"8,00","0,00",,NO,YES,NONE,NO,NO,,,,
