PARCEIRO;CODPARC;NUMNOTA;NUNOTA;DTNEG;VLRTOT;VLRUNIT;AD_CONTRATO;QTDNEG;TOTAL;DESCRPROD;EMPRESA
145 - TRANSPANORAMA TRANSPORTES S.A.;145;57826;302;27/07/2023 00:00;7.657,60;7.657,60;;1,00;7.657,60;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
7 - POSTOS ALPA LTDA;7;91905;411;01/08/2023 00:00;203,90;5,99;;34,00;203,90;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4335;444;01/08/2023 00:00;4.536,00;4.536,00;;1,00;4.536,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4342;451;01/08/2023 00:00;2.550,00;2.550,00;;1,00;2.550,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4339;448;01/08/2023 00:00;7.227,00;7.227,00;;1,00;7.227,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4346;461;01/08/2023 00:00;1.350,00;1.350,00;;1,00;1.350,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4340;449;01/08/2023 00:00;2.550,00;2.550,00;;1,00;2.550,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4334;439;01/08/2023 00:00;1.575,00;1.575,00;;1,00;1.575,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4348;480;01/08/2023 00:00;450,00;450,00;;1,00;450,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4333;443;01/08/2023 00:00;4.834,50;4.834,50;;1,00;4.834,50;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4344;453;01/08/2023 00:00;1.650,00;1.650,00;;1,00;1.650,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
