CODPROD,DESCRPROD,AD_PERFIL,AD_MATERIAL,QTDE_M,AD_PESO_UNITARIO,QTDNEG,QTDPEDIDO,QTDNOTA,SALDO
31,PARAF SEXT A325 UNC 3/4 X 3.1/4 GF,,,,,,,,
160,"W360X72,0X12.000mm ASTM A572 G50",,,,,,2592,2592,
445,CAMISETA ML TAM M VERMELHA,,,,,,,,
338,BOTINA SEGURANCA 39,,,,,,,,
783,"U 50X25X6.000MM #2,00MM CIVIL300",,,,,,503,506,
845,CUMEEIRAS METÁLICAS PRÉ-PINTADAS,,,,,,,,
920,COBERTURA EM TELHAS TÉRMICAS,,,,,,,,
908,COBERTURA EM TELHAS SINGELAS,,,,,,,,
971,"STEEL DECK SD-67/900 ZAR-280 0,80MM NAT",,,,,,1334.99,1334.993,
1082,FRETE,,,,,,,,
1464,"U 50X25X6.000MM #2,25MM CIVIL300",,,,,,195,189,
1470,"U 190X60X6.000MM #2,25MM CIVIL300",,,,,,3179,3116,
1454,"CHUMB CBA C/PARAF UNC 5/8X5"" ZB",,,,,,,,
1466,"U 150X50X6.000MM #2,25MM CIVIL300",,,,,,253,244,
1836,"DISCO FLAP 4.1/2"" GR60",,,,,,,,
46,PORCA SEXT UNC A194 2H 1/2 GF,,,,,,1400,1400,
32,PARAF SEXT A325 UNC 7/8 X 2 GF,,,,,,450,450,
33,PARAF SEXT A325 UNC 7/8 X 2.1/4 GF,,,,,,1100,1100,
195,"W610X125,0X12.000mm ASTM A572 G50",W610X125,A572-GR.50,700.09,125.00,27511.25,30000,30000,-32488.75
118,"W250X32,7X12.000mm ASTM A572 G50",,,,,,6272,6272,
349,BOTA DE PVC N  42,,,,,,,1,
745,ESTRUTURA METÁLICA - LAJE/MEZANINO,,,,,,,,
848,COMPRA LOCACAO MAQUINAS E EQUIPAMENT,,,,,,,3,
855,"CANT 3"" X 1/4"" X 6.000MM A36",,,,,,1012,1012,
1384,SERVICOS DE CANTINA E REFEITORIO,,,,,,,2,
1489,"UE 150X60X20X12.000MM #2,00MM CIVIL300",,,,,,5501,5413,
1471,PROGRAMAÇÃO FRETE,,,,,,,,
1298,VENEZIANAS EM POLICARBONATO,,,,,,,,
