Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:08:40,Total de registros:492,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TGFCAB,NUNOTA,NUMBER,,,"22,00","10,00","0,00",N,1,,,"108.090,00",C107,C30D5244,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"5,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,CODEMP,NUMBER,,,"22,00","5,00","0,00",N,2,,,"11,00",C102,C10C,"0,00","0,00","11,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,CODCENCUS,NUMBER,,,"22,00","10,00","0,00",N,3,"2,00",0,"153,00",80,C564,"0,00","0,00","152,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"6,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,NUMNOTA,NUMBER,,,"22,00","10,00","0,00",N,4,,,"15.872,00",80,C551092E2604,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"5,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,SERIENOTA,VARCHAR2,,,"3,00",,,Y,5,,,"43,00",20,75,"0,00","80.500,00","42,00",30/10/2025 05:17,"2.759,00",CHAR_CS,3,YES,NO,"2,00","3,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,DTNEG,DATE,,,"7,00",,,N,6,,,"1.011,00",78770208010101,787E0108010101,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"8,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,DTFATUR,DATE,,,"7,00",,,Y,7,,,"29.631,00",78770208010101,787E0101010101,"0,00","1.130,00","254,00",30/10/2025 05:17,"10.696,00",,,YES,NO,"8,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,DTENTSAI,DATE,,,"7,00",,,Y,8,,,"932,00",787A031F010101,787E0108010101,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"8,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,DTVAL,DATE,,,"7,00",,,Y,9,,,"36,00",787B0701010101,787E0201010101,"0,03","102.180,00","1,00",30/10/2025 05:17,"860,00",,,YES,NO,"2,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,DTMOV,DATE,,,"7,00",,,Y,10,,,"887,00",787A0315010101,787E0101010101,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"8,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,DTCONTAB,DATE,,,"7,00",,,Y,11,,,"0,00",,,"0,00","110.780,00","0,00",30/10/2025 05:17,,,,YES,NO,"1,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,HRMOV,NUMBER,,,"22,00","10,00","0,00",Y,12,,,"23.613,00",80,C3182A39,"0,00","5.410,00","254,00",30/10/2025 05:17,"10.268,00",,,YES,NO,"5,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,CODEMPNEGOC,NUMBER,,,"22,00","5,00","0,00",N,13,,,"11,00",C102,C10C,"0,00","0,00","11,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,CODPARC,NUMBER,,,"22,00","10,00","0,00",N,14,"2,00",0,"1.854,00",80,C23A3C,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"4,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,CODCONTATO,NUMBER,,,"22,00","10,00","0,00",Y,15,,,"2,00",C102,C103,"0,50","102.180,00","1,00",30/10/2025 05:17,"860,00",,,YES,NO,"2,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,RATEADO,VARCHAR2,,,"1,00",,,N,16,"4,00",'N',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,CODVEICULO,NUMBER,,,"22,00","10,00","0,00",N,17,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,CODTIPOPER,NUMBER,,,"22,00","5,00","0,00",N,18,,,"106,00",C104,C302010D,"0,00","0,00","106,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,DHTIPOPER,DATE,,,"7,00",,,N,19,,,"393,00",78770316093A15,787D0A160F2D0B,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"8,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,TIPMOV,VARCHAR2,,,"1,00",,,N,20,"4,00",'P',"11,00",43,5A,"0,00","0,00","11,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,CODTIPVENDA,NUMBER,,,"22,00","5,00","0,00",N,21,"2,00",0,"57,00",80,C159,"0,00","0,00","57,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,DHTIPVENDA,DATE,,,"7,00",,,N,22,"36,00","TO_DATE('01/01/1998', 'DD/MM/YYYY')","74,00",77C60101010101,787D051A111303,"0,00","0,00","74,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"8,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,NUMCOTACAO,NUMBER,,,"22,00","10,00","0,00",Y,23,,,"2.097,00",C108,C21C5D,"0,00","102.030,00","1,00",30/10/2025 05:17,"875,00",,,YES,NO,"2,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,CODVEND,NUMBER,,,"22,00","5,00","0,00",N,24,"2,00",0,"80,00",80,C20241,"0,00","0,00","80,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,COMISSAO,FLOAT,,,"22,00","126,00",,N,25,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,CODMOEDA,NUMBER,,,"22,00","5,00","0,00",N,26,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,CODOBSPADRAO,NUMBER,,,"22,00","5,00","0,00",N,27,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,OBSERVACAO,VARCHAR2,,,"4.000,00",,,Y,28,,,"10.186,00",2243616D70616E68612066656368612073616672612049220A5265666572656E74652061207472616E73666572EA6E636961206EBA38313531362E,E24553544142454C4543494D454E544F20494D50454449444F204445205245434F4C484552204F2049434D532F4953532050454C4F2053494D504C4553204E41,"0,00","40.650,00","254,00",30/10/2025 05:17,"6.744,00",CHAR_CS,4000,YES,NO,"85,00","4.000,00",B,NO,YES,HEIGHT BALANCED,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,VLRSEG,FLOAT,,,"22,00","126,00",,N,29,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRICMSSEG,FLOAT,,,"22,00","126,00",,N,30,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRDESTAQUE,FLOAT,,,"22,00","126,00",,N,31,"2,00",0,"12,00",80,C3042E4F22,"0,00","0,00","12,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRJURO,FLOAT,,,"22,00","126,00",,N,32,"2,00",0,"6,00",80,C12E,"0,00","0,00","6,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRVENDOR,FLOAT,,,"22,00","126,00",,N,33,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLROUTROS,FLOAT,,,"22,00","126,00",,N,34,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLREMB,FLOAT,,,"22,00","126,00",,N,35,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRICMSEMB,FLOAT,,,"22,00","126,00",,N,36,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRDESCSERV,FLOAT,,,"22,00","126,00",,N,37,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,IPIEMB,FLOAT,,,"22,00","126,00",,N,38,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,TIPIPIEMB,VARCHAR2,,,"1,00",,,N,39,"4,00",'N',"1,00",4E,4E,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,VLRDESCTOT,FLOAT,,,"22,00","126,00",,N,40,"2,00",0,"27,00",80,C2152C,"0,00","0,00","27,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRDESCTOTITEM,FLOAT,,,"22,00","126,00",,N,41,"2,00",0,"5.346,00",80,C402591F304815,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,VLRFRETE,FLOAT,,,"22,00","126,00",,N,42,"2,00",0,"590,00",3C63501B4E66,C303390242,"0,00","0,00","1,00",30/10/2025 05:17,"11.078,00",,,YES,NO,"3,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,ICMSFRETE,FLOAT,,,"22,00","126,00",,N,43,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,BASEICMSFRETE,FLOAT,,,"22,00","126,00",,N,44,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,TIPFRETE,VARCHAR2,,,"1,00",,,N,45,"4,00",'S',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,CIF_FOB,VARCHAR2,,,"1,00",,,Y,46,,,"6,00",43,54,"0,00","33.670,00","6,00",30/10/2025 05:17,"7.442,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,VENCFRETE,DATE,,,"7,00",,,Y,47,,,"503,00",78780210010101,787D061A010101,"0,00","104.880,00","1,00",30/10/2025 05:17,"590,00",,,YES,NO,"2,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,VLRNOTA,FLOAT,,,"22,00","126,00",,N,48,"2,00",0,"12.885,00",80,C40A03130109,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"5,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,VENCIPI,DATE,,,"7,00",,,Y,49,,,"0,00",,,"0,00","110.780,00","0,00",30/10/2025 05:17,,,,YES,NO,"1,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,ORDEMCARGA,NUMBER,,,"22,00","10,00","0,00",Y,50,,,"3.420,00",80,C23903,"0,00","70.010,00","254,00",30/10/2025 05:17,"3.808,00",,,YES,NO,"2,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,SEQCARGA,NUMBER,,,"22,00","5,00","0,00",Y,51,,,"11,00",C102,C10C,"0,09","89.130,00","1,00",30/10/2025 05:17,"2.165,00",,,YES,NO,"2,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,KMVEICULO,NUMBER,,,"22,00","10,00","0,00",Y,52,,,"0,00",,,"0,00","110.780,00","0,00",30/10/2025 05:17,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
