Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:09:44,Total de registros:227,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TGFITE,NUTAB,NUMBER,,,"22,00","10,00","0,00",Y,1,,,"44,00",C108,C2023C,"0,00","248.090,00","44,00",30/10/2025 05:24,"6.417,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,NUNOTA,NUMBER,,,"22,00","10,00","0,00",N,2,,,"45.889,00",C106,C30D5254,"0,00","0,00","1,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"5,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,SEQUENCIA,NUMBER,,,"22,00","5,00","0,00",N,3,,,"166,00",3E2966,C20261,"0,00","0,00","166,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CODEMP,NUMBER,,,"22,00","5,00","0,00",N,4,,,"11,00",C102,C10C,"0,00","0,00","11,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CODPROD,NUMBER,,,"22,00","10,00","0,00",N,5,,,"1.593,00",C102,C22248,"0,00","0,00","254,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"4,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFITE,CODLOCALORIG,NUMBER,,,"22,00","10,00","0,00",N,6,"2,00",0,"8,00",80,C2020A,"0,00","0,00","8,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CONTROLE,VARCHAR2,,,"11,00",,,N,7,"4,00",' ',"4.332,00",20,787878,"0,00","0,00","254,00",30/10/2025 05:24,"31.226,00",CHAR_CS,11,YES,NO,"7,00","11,00",B,NO,YES,HEIGHT BALANCED,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,USOPROD,VARCHAR2,,,"1,00",,,N,8,"4,00",'V',"13,00",32,56,"0,00","0,00","13,00",30/10/2025 05:24,"31.226,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,CODCFO,NUMBER,,,"22,00","10,00","0,00",N,9,"2,00",0,"80,00",80,C24632,"0,00","0,00","80,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,QTDNEG,FLOAT,,,"22,00","126,00",,N,10,"2,00",0,"1.783,00",80,C307,"0,00","0,00","254,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"4,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
