Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:11:40,Total de registros:48,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TPROEST,IDEFX,NUMBER,,,"22,00","10,00","0,00",N,1,,,"40,00",C108,C2052B,"0,01","0,00","40,00",30/10/2025 05:30,"44,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,SEQOPER,NUMBER,,,"22,00","5,00","0,00",N,2,,,"2,00",C102,C103,"0,01","0,00","2,00",30/10/2025 05:30,"44,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,IDEFXBASE,NUMBER,,,"22,00","10,00","0,00",Y,3,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPROEST,ORDEM,NUMBER,,,"22,00","5,00","0,00",N,4,"2,00",1,"2,00",C102,C103,"0,01","0,00","2,00",30/10/2025 05:30,"44,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,QUANDO,VARCHAR2,,,"2,00",,,N,5,,,"3,00",414A,5041,"0,01","0,00","3,00",30/10/2025 05:30,"44,00",CHAR_CS,2,YES,NO,"3,00","2,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,NUNOTAMODELO,NUMBER,,,"22,00","10,00","0,00",N,6,,,"4,00",C10E,C2065A,"0,01","0,00","4,00",30/10/2025 05:30,"44,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,CODPARC,NUMBER,,,"22,00","10,00","0,00",Y,7,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPROEST,CODCENCUS,NUMBER,,,"22,00","10,00","0,00",Y,8,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPROEST,CODPROJ,NUMBER,,,"22,00","10,00","0,00",Y,9,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPROEST,CODNAT,NUMBER,,,"22,00","10,00","0,00",Y,10,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPROEST,CODTIPVENDA,NUMBER,,,"22,00","10,00","0,00",Y,11,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPROEST,CODTIPOPER,NUMBER,,,"22,00","10,00","0,00",Y,12,,,"4,00",C206,C20903,"0,01","0,00","4,00",30/10/2025 05:30,"44,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,CODLOCALORIG,NUMBER,,,"22,00","10,00","0,00",N,13,"2,00",0,"5,00",C20202,C20207,"0,01","0,00","5,00",30/10/2025 05:30,"44,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,CODLOCALDEST,NUMBER,,,"22,00","10,00","0,00",N,14,"2,00",0,"2,00",80,C20204,"0,01","0,00","2,00",30/10/2025 05:30,"44,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,CODEMPORIG,NUMBER,,,"22,00","5,00","0,00",Y,15,,,"1,00",C102,C102,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,CODEMPDEST,NUMBER,,,"22,00","5,00","0,00",Y,16,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPROEST,TIPOITENS,VARCHAR2,,,"2,00",,,N,17,,,"2,00",4D54,5041,"0,01","0,00","2,00",30/10/2025 05:30,"44,00",CHAR_CS,2,YES,NO,"3,00","2,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,SELIMPRESSORA,VARCHAR2,,,"1,00",,,N,18,"4,00",'T',"1,00",54,54,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,NOMEIMPRESSORA,VARCHAR2,,,"100,00",,,Y,19,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,CHAR_CS,100,YES,NO,"0,00","100,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,STATUSEXEC,VARCHAR2,,,"1,00",,,N,20,"4,00",'T',"3,00",4E,54,"0,01","0,00","3,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,IDFORM,NUMBER,,,"22,00","10,00","0,00",Y,21,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPROEST,CONFIRMAR,VARCHAR2,,,"1,00",,,N,22,"4,00",'S',"1,00",53,53,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,CODLOCALBAIXAMP,NUMBER,,,"22,00","10,00","0,00",N,23,"2,00",0,"3,00",80,C20203,"0,01","0,00","3,00",30/10/2025 05:30,"44,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,BAIXARESERVAEST,VARCHAR2,,,"1,00",,,N,24,"4,00",'N',"2,00",4E,53,"0,01","0,00","2,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,TIPOEXEC,CHAR,,,"1,00",,,N,25,"4,00",'P',"1,00",50,50,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,USARPARCTERC,CHAR,,,"1,00",,,N,26,"4,00",'N',"1,00",4E,4E,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,TIPOMATERIAL,VARCHAR2,,,"2,00",,,N,27,"5,00",'AB',"1,00",4142,4142,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",CHAR_CS,2,YES,NO,"3,00","2,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,ANULAOPEREST,CHAR,,,"1,00",,,N,28,"4,00",'N',"1,00",53,53,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,UTILIZALOCALORIG,VARCHAR2,,,"1,00",,,N,29,"4,00",'N',"1,00",4E,4E,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,CODTIPOPERPERDA,NUMBER,,,"22,00","5,00","0,00",Y,30,,,"0,00",,,"0,00","44,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPROEST,CODLOCALDESTPERDA,NUMBER,,,"22,00","10,00","0,00",N,31,"2,00",0,"1,00",80,80,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPROEST,CONSUMIRESTOQUE,VARCHAR2,,,"20,00",,,Y,32,"3,00",'T',"3,00",4345,54,"0,01","0,00","3,00",30/10/2025 05:30,"44,00",CHAR_CS,20,YES,NO,"3,00","20,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,DESCRICAO,VARCHAR2,,,"100,00",,,Y,33,,,"3,00",4E6F74612064652070726F6475E7E36F,52657175697369E7E36F206465206D6174657269616973,"0,01","0,00","3,00",30/10/2025 05:30,"44,00",CHAR_CS,100,YES,NO,"19,00","100,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,TIPOOPER,VARCHAR2,,,"1,00",,,N,34,"4,00",'A',"2,00",41,4D,"0,01","0,00","2,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPROEST,OBRIGATORIO,VARCHAR2,,,"1,00",,,Y,35,"3,00",'N',"1,00",4E,4E,"0,01","0,00","1,00",30/10/2025 05:30,"44,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
