Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:07:11,Total de registros:434,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TGFPRO,CODPROD,NUMBER,,,"22,00","10,00","0,00",N,1,,,"3.318,00",C102,C2224F,"0,00","0,00","1,00",30/10/2025 05:26,"3.318,00",,,YES,NO,"4,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFPRO,DESCRPROD,VARCHAR2,,,"40,00",,,N,2,,,"3.273,00",39323720434F4E45435420474D,D34C454F204D494E4552414C2050414C455452414E53,"0,00","0,00","254,00",30/10/2025 05:26,"3.318,00",CHAR_CS,40,YES,NO,"21,00","40,00",B,NO,YES,HEIGHT BALANCED,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFPRO,COMPLDESC,VARCHAR2,,,"40,00",,,Y,3,,,"99,00",2853292020393725,696D756E697A61E7E36F2F68696769656E697A61E7E36F2F646573726174697A61E7E36F2F70756C,"0,00","3.195,00","99,00",30/10/2025 05:26,"123,00",CHAR_CS,40,YES,NO,"2,00","40,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFPRO,CARACTERISTICAS,VARCHAR2,,,"4.000,00",,,Y,4,,,"136,00",3120424154455249412054524143494F4EC152494120323835416820310A203120424154455249412054524143494F4EC152494120323136416820310A312020,D36C656F206D696E6572616C2C20766973636F7369646164652036386353742040203430B0432C2044494E203531353234,"0,00","3.065,00","131,00",30/10/2025 05:26,"253,00",CHAR_CS,4000,YES,NO,"15,00","4.000,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFPRO,REFERENCIA,VARCHAR2,,,"15,00",,,Y,5,,,"147,00",31303030303030303038363534,37383939343738373033313136,"0,00","3.171,00","147,00",30/10/2025 05:26,"147,00",CHAR_CS,15,YES,NO,"2,00","15,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFPRO,CODGRUPOPROD,NUMBER,,,"22,00","10,00","0,00",N,6,,,"13,00",80,C408,"0,00","0,00","13,00",30/10/2025 05:26,"3.318,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFPRO,CODVOL,VARCHAR2,,,"2,00",,,N,7,,,"12,00",30,554E,"0,00","0,00","12,00",30/10/2025 05:26,"3.318,00",CHAR_CS,2,YES,NO,"3,00","2,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFPRO,MARCA,VARCHAR2,,,"20,00",,,Y,8,,,"86,00",415A4F4D494C,5649544150484F4C205A494E434F,"0,00","3.064,00","86,00",30/10/2025 05:26,"254,00",CHAR_CS,20,YES,NO,"2,00","20,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFPRO,LOCALIZACAO,VARCHAR2,,,"15,00",,,Y,9,,,"0,00",,,"0,00","3.318,00","0,00",30/10/2025 05:26,,CHAR_CS,15,YES,NO,"0,00","15,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFPRO,CODIPI,NUMBER,,,"22,00","5,00","0,00",Y,10,,,"4,00",80,C107,"0,00","2.616,00","4,00",30/10/2025 05:26,"702,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
