Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:13:29,Total de registros:9,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TPRIPA,IDIPROC,NUMBER,,,"22,00","10,00","0,00",N,1,,,"12.084,00",C102,C302183F,"0,00","0,00","1,00",30/10/2025 05:30,"12.084,00",,,YES,NO,"5,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRIPA,CODPRODPA,NUMBER,,,"22,00","10,00","0,00",N,2,,,"227,00",C102,C22206,"0,00","0,00","227,00",30/10/2025 05:30,"12.084,00",,,YES,NO,"4,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPRIPA,CONTROLEPA,VARCHAR2,,,"14,00",,,N,3,"4,00",' ',"2.620,00",20,4F503233383636,"0,00","0,00","254,00",30/10/2025 05:30,"12.084,00",CHAR_CS,14,YES,NO,"9,00","14,00",B,NO,YES,HEIGHT BALANCED,NO,NO,,,,USING_NLS_COMP
SATISTST,TPRIPA,QTDPRODUZIR,FLOAT,,,"22,00","126,00",,N,4,"2,00",0,"407,00",C102,C303023D,"0,00","0,00","254,00",30/10/2025 05:30,"12.084,00",,,YES,NO,"4,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TPRIPA,NROLOTE,VARCHAR2,,,"20,00",,,N,5,,,"3.204,00",3031303232342D30303031,6F703231393037,"0,00","0,00","254,00",30/10/2025 05:30,"12.084,00",CHAR_CS,20,YES,NO,"12,00","20,00",B,NO,YES,HEIGHT BALANCED,NO,NO,,,,USING_NLS_COMP
SATISTST,TPRIPA,CONCLUIDO,VARCHAR2,,,"1,00",,,N,6,"4,00",'N',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:30,"12.084,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TPRIPA,DTVAL,DATE,,,"7,00",,,Y,7,,,"740,00",787B0201010101,78800716010101,"0,00","2.004,00","254,00",30/10/2025 05:30,"10.080,00",,,YES,NO,"7,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TPRIPA,DTFAB,DATE,,,"7,00",,,Y,8,,,"779,00",787A0404010101,787D0717010101,"0,00","752,00","254,00",30/10/2025 05:30,"11.332,00",,,YES,NO,"8,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TPRIPA,QTDPRODUZIR_ORIGINAL,FLOAT,,,"22,00","126,00",,Y,9,,,"0,00",,,"0,00","12.084,00","0,00",30/10/2025 05:30,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
,,,,,,"137,00","272,00","0,00",,,"10,00",,"20.063,00",,,"0,00","14.840,00","1.500,00",,"93.916,00",,,,,"51,00","35,00",,,,,,,,,,
