column_name	nullable	data_default
CODEMP	N	
CODFUNC	N	
NOMEFUNC	N	
CODEND	Y	
NUMEND	Y	
COMPLEMENTO	Y	
CODBAI	Y	
CODCID	Y	
CEP	Y	
TELEFONE	Y	
NUMCPS	Y	
UFCPS	Y	
CPF	Y	
PIS	Y	
IDENTIDADE	Y	
SEXO	Y	'M'
ESTADOCIVIL	Y	
NIVESC	Y	
ANOCHEGPAIS	Y	
NOMEMAE	Y	
NOMEPAI	Y	
DEPENDIRF	Y	
DEPENDSALFAM	Y	
MESDIA	Y	
DTNASC	Y	
DTADM	N	
DTDEM	Y	
DTAVISOPREVIO	Y	
DTCARTEIRASAUDE	Y	
CODBCO	Y	
CODAGE	Y	
CODCTABCO	Y	
CTAFGTS	Y	
PRIMEMPREGO	N	'S' 
VINCULO	Y	
TIPSAL	Y	'1'
TIPTAB	Y	'C'
SALBASE	Y	
SITUACAO	Y	'1'
SITSIND	Y	'N'
CODSIND	Y	
CODDEP	Y	
CODFUNCAO	Y	
CODCARGO	Y	
CODCARGAHOR	Y	
HORASSEM	Y	
AFASTFGTS	Y	
AFASTRAIS	Y	
CAUSAAFAST	Y	
CODSAQ	Y	
CONVMED	N	'N' 
NUMCARTAOPONTO	Y	
DEPENDCONVMED	Y	
PERCCONV	Y	
TIPRECEB	Y	'C'
MATRICULA	Y	
CODADMFGTS	Y	
CODADMFGTSII	Y	
TRABOUTRAEMP	N	'N' 
CIDNASC	Y	
IMAGEM	Y	
CODCATEG	Y	
DEFICIENTEFISICO	Y	'N'
SENHA	Y	
CODPARC	Y	0
DTOPTFGTS	N	
CODTOMADOR	N	0
RACAFUNCIONARIO	N	2
PARTPAT	N	'2' 
TITELEITORAL	Y	
ZONAELEITORAL	Y	
NRORESERVISTA	Y	
NACIONALPAIS	Y	
DIACADPIS	Y	
NROCNH	Y	
DTAFASTAMENTO	Y	
PERCADIANTAMENTO	Y	0
DTALTER	N	SYSDATE 
CELULAR	Y	
RNE	Y	
DTVALPAIS	Y	
SITPAIS	Y	
DTCPS	Y	
DTRG	Y	
ORGAORG	Y	
DTCADPIS	Y	
SECAOELEITORAL	Y	
DIASFERIAS	Y	
DTVENCEXP1	Y	
DTVENCEXP2	Y	
PRIMEIRACNH	Y	
VENCIMENTOCNH	Y	
CATEGORIACNH	Y	
REMUMINIMA	N	0
TIPCONTA	Y	
CODUSU	Y	
EMAIL	Y	
TIPDEFICIENCIA	N	0
CODCIDTRAB	N	0
CODGRUPOCTBZ	Y	
SINDICALIZADO	N	'N' 
NACIONALIDADE	Y	
CODEMPORIG	Y	
CODFUNCORIG	Y	
DTTRANSFERENCIA	Y	
REGIME	Y	
TIPPONTO	N	'S' 
DIAAPURAPONTO	N	0
DIRRECIPROCO	N	'N' 
CODCONVENIO	Y	
SERIECPS	Y	
PERCINSAL	Y	
PERCPERIC	Y	
POSSUIRRA	N	'N' 
QUEMPAGARRA	N	1
NROPROCESSORRA	Y	
DTLAUDORRA	Y	
CAIXAPOSTAL	Y	
NRONATURAL	Y	
DTNATURAL	Y	
NROPASSAPORTE	Y	
EMISSORPPORTE	Y	
UFPPORTE	Y	
DTEMIPPORTE	Y	
DTVALPPORTE	Y	
NRORIC	Y	
ORGAORIC	Y	
DTEMIRIC	Y	
CODCIDRIC	Y	
TIPCERTIDAO	Y	
NROCERTCIVIL	Y	
CARTORIO	Y	
NROLIVROREG	Y	
DTEMICERTCIVIL	Y	
CODCIDCERTCIVIL	Y	
PROVISAOFERIAS	N	'S' 
PROVISAO13	N	'S' 
NUREQUISICAO	Y	
DISPENSAPONTO	N	'N' 
CODCARREIRA	Y	
TEMPOPARCIAL	N	'N' 
SEMINTEGRAL	N	'N' 
NOVOEMPREGO	N	'N' 
DTQUITACAO	Y	
DIASAVISOPREVIO	Y	
COMPSALARIO	N	1
COMPENSASABADO	N	'N' 
NOMEARQHOMOLOGNET	Y	
MEI	N	'N' 
CODPAISNAC	Y	
ORGAORNE	Y	
DTEXPRNE	Y	
NROC	Y	
ORGAOOC	Y	
DTEXPOC	Y	
DTVALOC	Y	
ORGAOCNH	Y	
DTEXPCNH	Y	
DTCHEGPAIS	Y	
CASADOBR	N	'N' 
FILHOSBR	N	'N' 
OBSDEFICIENCIA	Y	
INDADMISSAO	Y	
REGIMETRAB	Y	
REGIMEJOR	Y	
CODCATEGESOCIAL	Y	
DTTERMINO	Y	
CONTTRABTEMP	Y	
CODEMPFUNCSUBST	Y	
CODFUNCSUBST	Y	
NUPROCESSOJUD	Y	
OPTFGTS	Y	
CNPJEMPANT	Y	
MATRICULAEMPANT	Y	
DTVINCEMPANT	Y	
OBSEMPANT	Y	
CNPJEMPCED	Y	
MATRICULAEMPCED	Y	
DTADMEMPCED	Y	
INFOONUS	Y	
DTASO	Y	
MEDICOASO	Y	
TELMEDICOASO	Y	
CRMMEDICOASO	Y	
UFCRMMEDASO	Y	
DTINC_ESOCIAL	Y	
DTULTENV_ESOCIAL	Y	
CAGEDADM	N	'N' 
SEGDESEMPREGO	N	'N' 
DTLOTENIS	Y	
NUMLOTENIS	Y	
CODEMPRESPNIS	Y	
NISENVIADO	N	'N' 
COMPLEMENTORG	Y	
UFRG	Y	
CODNIVEL	Y	
STEP	Y	
CODEMPFUNCSUP	Y	
CODFUNCSUP	Y	
NROFOLHAREG	Y	
REMUNERAMESANT	Y	0
UFCNH	Y	
CLASSTRABESTRANG	Y	
TRABAPOSENT	N	'N' 
OBSVARIAVEL	Y	
