====================================================================================================
                             LISTAGEM DE PRODUTOS - CONTROLE DE ESTOQUE                             
                              Fonte: ESTOQUE DE PAPEIS-29-7-26(1).xlsx                              
                                    Gerado em: 31/07/2026 15:58                                     
====================================================================================================

----------------------------------------------------------------------------------------------------
CATEGORIA: FOSCO
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
--------------------------------------  ------  ------------   -------- -------- -------------
FOSCO COLACRIL ADC 1000                 20G     COLACRIL             40      500             0
FOSCO COLACRIL ADC 1000                 20G     COLACRIL             45      500             0
FOSCO COLACRIL ADC 1000                 20G     COLACRIL             60     1000             5
FOSCO COLACRIL ADC 1000                 20G     COLACRIL             66      500             1
FOSCO COLACRIL ADC 1000                 20G     COLACRIL             70      600             1
FOSCO COLACRIL ADC 1000                 20G     COLACRIL             75     1000             1
FOSCO COLACRIL ADC 1000                 20G     COLACRIL            130     1000             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             18      700             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             20     1000             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             30      500             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             40     1000             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             45      500             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             46      500             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             55      600             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             60      400             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             63      500             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             65      800             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             65     1000             5
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             70     1000             2
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             75     1000            14
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             80      700             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             80     1000             2
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             95      500             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL             95     1000             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            100      700             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            100     1000             8
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            105     1000             7
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            110      400             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            110     1000             4
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            114     1000             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            115     1000             2
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            120     1000             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            130      500             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            130     1000             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            138     1000             2
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            140      300             0
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            140     1000             2
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            190     1000             1
FOSCO COLACRIL ADC 5240                 20G     COLACRIL            195     1000             1
                                                                          TOTAL:            68
Itens distintos: 39

----------------------------------------------------------------------------------------------------
CATEGORIA: TAG
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
--------------------------------------  ------  ------------   -------- -------- -------------
TAG COUCHE 170G                         170G    PROTACK              70     1000             0
TAG COUCHE 170G                         170G    PROTACK              75     1000             0
TAG COUCHE 170G                         170G    PROTACK              85     1000             0
TAG COUCHE 170G                         170G    PROTACK             105      700             0
TAG COUCHE 170G                         170G    PROTACK             105     1000             0
TAG COUCHE 170G                         170G    PROTACK             110     1000             0
TAG COUCHE 170G                         170G    PROTACK             125     1000             0
TAG COUCHE 170G                         170G    PROTACK             130     1000             0
TAG COUCHE 170G                         170G    PROTACK             150     1000             0
