cnpj	c_prod	x_prod	produto_codigo
43999630000124	AAS029-EX4	FASSON ECOPRINT/S2045N/60G - EXACT 1000	MP-PAP-013
43999630000124	AAS029-EX3	FASSON ECOPRINT/S2045N/60G - EXACT 1500	MP-PAP-014
43999630000124	AAS040-EX1	FASSON TERMICO DRY/S2045N/60G - EXACT 1000	MP-PAP-015
43999630000124	AAS121-EX3	FASSON PP BRANCO FOSCO NTC/S0290/60G - EXACT 1500	MP-FLM-015
03514129000106	05850111	COLACRIL_TERMICO ECO70G L/ADC5240/60G FSC _	MP-PAP-017
03514129000106	301A3G133N	COLACRIL_BOPP TPTE TC 50M L/ADC1000/GL52M	MP-FLM-019
03514129000106	301A3G333N	COLACRIL_BOPP BRANCO TC60M L/ADC210/GL52M	MP-FLM-020
03514129000106	301A3G43N	COLACRIL_BOPP BCO FOSCONTC 60M L/ADC1000/GL52M	MP-FLM-021
03514129000106	301A4G13N	COLACRIL_BOPP METALIZADOTC 50M L/ADC1000/GL52M	MP-FLM-022
03514129000106	301A4G592N	COLACRIL_BOPP BCO FOSCOTC 60M/ADC1000/GL52M	MP-FLM-023
03514129000106	303A5G13C	COLACRIL_COUCHE 80GL/ADC200/60GR_	MP-PAP-018
03514129000106	303H5G73C	COLACRIL_COUCHE 80G L/ADC5240/60G _	MP-PAP-019
03514129000106	503H5G73C	COLACRIL_COUCHE 80G L/ADC5240/60G _	MP-PAP-019
03514129000106	501H3G03C	COLACRIL_BOPP BCO FOSCONTC 60M L/ADC3000/GL52M_	MP-FLM-024
34661762000150	8E0193927730060	B0883 | FLM4443 | 03838 PP TC8 GLOSS CLEAR	MP-FLM-016
34661762000150	8E0193927730240	B0883 | FLM4443 | 03838 PP TC8 GLOSS CLEAR	MP-FLM-016
34661762000150	8E0193927730250	B0883 | FLM4443 | 03838 PP TC8 GLOSS CLEAR	MP-FLM-016
34661762000150	8E0211927730080	B0912 | FLM4445 | 07182 PP MATT WHITE	MP-FLM-017
34661762000150	8E0211927730090	B0912 | FLM4445 | 07182 PP MATT WHITE	MP-FLM-017
34661762000150	8E0211927730110	B0912 | FLM4445 | 07182 PP MATT WHITE	MP-FLM-017
34661762000150	8E0211927730210	B0912 | FLM4445 | 07182 PP MATT WHITE	MP-FLM-017
34661762000150	8E02889277O0070	B5009 | FLM4274 | 02102 PP TC8 GLOSS WHITE	MP-FLM-018
34661762000150	8E02889277O0075	B5009 | FLM4274 | 02102 PP TC8 GLOSS WHITE	MP-FLM-018
34661762000150	8E02889277O0080	B5009 | FLM4274 | 02102 PP TC8 GLOSS WHITE	MP-FLM-018
34661762000150	8E02889277O0085	B5009 | FLM4274 | 02102 PP TC8 GLOSS WHITE	MP-FLM-018
34661762000150	8E02889277O0105	B5009 | FLM4274 | 02102 PP TC8 GLOSS WHITE	MP-FLM-018
34661762000150	8E02889277O0110	B5009 | FLM4274 | 02102 PP TC8 GLOSS WHITE	MP-FLM-018
34661762000150	8E02889277O0130	B5009 | FLM4274 | 02102 PP TC8 GLOSS WHITE	MP-FLM-018
34661762000150	8E02889277O0160	B5009 | FLM4274 | 02102 PP TC8 GLOSS WHITE	MP-FLM-018
34661762000150	8E02889277O0210	B5009 | FLM4274 | 02102 PP TC8 GLOSS WHITE	MP-FLM-018
48062707000159	PA900392110060	VERTEX 5030 G62 60 MM IMP	MP-PAP-016
48062707000159	PA900392110080	VERTEX 5030 G62 80 MM IMP	MP-PAP-016
48062707000159	PA900392110095	VERTEX 5030 G62 95 MM IMP	MP-PAP-016
48062707000159	PA900392110100	VERTEX 5030 G62 100 MM IMP	MP-PAP-016
48062707000159	PA900392110110	VERTEX 5030 G62 110 MM IMP	MP-PAP-016
48062707000159	PA900392110250	VERTEX 5030 G62 250 MM IMP	MP-PAP-016
48062707000159	PL900392110166	VERTEX 5030 G62 166 MM IMP	MP-PAP-016
06154635000391	2070	BOPP BRANCO BRILHO TC AP120 GL58	MP-FLM-025
06154635000391	2071	BOPP TRANSPARENTE TC AP120 GL58	MP-FLM-026
06154635000391	2237	BOPP TERMICO BR TC AP718 GL58	MP-FLM-027
06154635000391	2371	COUCHE TACKMELT AHM850 GL50	MP-PAP-020
06154635000391	2424	BOPP METALIZADO PRATA TC AP120 GL58	MP-FLM-028
18270945000199	1193	808M-FILME ADESIVO P/LAMINACAO - FOSCO	MP-LAM-003
