codigo,familia,grupo,descricao_fiscal,descricao_comercial,situacao,ncm,unidade_comercial,unidade_interna,fator_conversao,grupo_estoque
MP-PAP-016,MP,MP-PAP,VERTEX 5030 G62,Vertex 5030 G62,ATIVO,48114190,M2,M2,1,10
MP-PAP-017,MP,MP-PAP,COLACRIL TERMICO ECO70G ADC5240/60G FSC,Colacril térmico Eco70 ADC5240,ATIVO,48114190,M2,M2,1,12
MP-PAP-018,MP,MP-PAP,COLACRIL COUCHE 80G ADC200/60G,Colacril couché 80g ADC200,ATIVO,48114190,M2,M2,1,10
MP-PAP-019,MP,MP-PAP,COLACRIL COUCHE 80G ADC5240/60G,Colacril couché 80g ADC5240,ATIVO,48114190,M2,M2,1,10
MP-PAP-020,MP,MP-PAP,PPA COUCHE TACKMELT AHM850 GL50,PPA couché Tackmelt AHM850,ATIVO,48114190,M2,M2,1,10
MP-FLM-016,MP,MP-FLM,FEDRIGONI PP TC8 GLOSS CLEAR B0883/FLM4443,Fedrigoni PP TC8 gloss clear,ATIVO,39199010,M2,M2,1,20
MP-FLM-017,MP,MP-FLM,FEDRIGONI PP MATT WHITE B0912/FLM4445,Fedrigoni PP matt white,ATIVO,39199010,M2,M2,1,20
MP-FLM-018,MP,MP-FLM,FEDRIGONI PP TC8 GLOSS WHITE B5009/FLM4274,Fedrigoni PP TC8 gloss white,ATIVO,39191090,M2,M2,1,20
MP-FLM-019,MP,MP-FLM,COLACRIL BOPP TRANSPARENTE TC ADC1000/GL52,Colacril BOPP transp. TC ADC1000,ATIVO,39199010,M2,M2,1,20
MP-FLM-020,MP,MP-FLM,COLACRIL BOPP BRANCO TC ADC210/GL52,Colacril BOPP branco TC ADC210,ATIVO,39199010,M2,M2,1,20
MP-FLM-021,MP,MP-FLM,COLACRIL BOPP BRANCO FOSCO NTC ADC1000/GL52,Colacril BOPP branco fosco NTC ADC1000,ATIVO,39199010,M2,M2,1,20
MP-FLM-022,MP,MP-FLM,COLACRIL BOPP METALIZADO TC ADC1000/GL52,Colacril BOPP metalizado TC ADC1000,ATIVO,39199010,M2,M2,1,20
MP-FLM-023,MP,MP-FLM,COLACRIL BOPP BRANCO FOSCO TC ADC1000/GL52,Colacril BOPP branco fosco TC ADC1000,ATIVO,39199010,M2,M2,1,20
MP-FLM-024,MP,MP-FLM,COLACRIL BOPP BRANCO FOSCO NTC ADC3000/GL52,Colacril BOPP branco fosco NTC ADC3000,ATIVO,39199010,M2,M2,1,20
MP-FLM-025,MP,MP-FLM,PPA BOPP BRANCO BRILHO TC AP120 GL58,PPA BOPP branco brilho AP120,ATIVO,39199090,M2,M2,1,20
MP-FLM-026,MP,MP-FLM,PPA BOPP TRANSPARENTE TC AP120 GL58,PPA BOPP transparente AP120,ATIVO,39199090,M2,M2,1,20
MP-FLM-027,MP,MP-FLM,PPA BOPP TERMICO BR TC AP718 GL58,PPA BOPP térmico BR AP718,ATIVO,39199090,M2,M2,1,20
MP-FLM-028,MP,MP-FLM,PPA BOPP METALIZADO PRATA TC AP120 GL58,PPA BOPP metalizado prata AP120,ATIVO,39199090,M2,M2,1,20
MP-CLD-003,MP,MP-CLD,FOIL HOT/COLD LUX KPW XU 220,Kurz Lux KPW XU 220,ATIVO,32121000,BB,BB,1,41
MP-ADF-004,MP,MP-ADF,FITA DUPLA FACE FLEXO PRINT 52916 460X25,Fita dupla face Flexo Print 52916,ATIVO,39199090,RL,RL,1,72
REV-RIB-006,REV,REV-RIB,RIBBON AXR1 ZEBRA 110MM X 74M,AXR1 Zebra 110×74,ATIVO,96121000,UN,UN,1,60
REV-RIB-007,REV,REV-RIB,RIBBON AXR1 ZEBRA 110MM X 300M,AXR1 Zebra 110×300,ATIVO,96121000,UN,UN,1,60
REV-RIB-008,REV,REV-RIB,RIBBON AWR1 GENIUS 110MM X 450M,AWR1 Genius 110×450,ATIVO,96121000,UN,UN,1,60
REV-RIB-009,REV,REV-RIB,RIBBON AXR1 GENIUS 110MM X 300M,AXR1 Genius 110×300,ATIVO,96121000,UN,UN,1,60
REV-RIB-010,REV,REV-RIB,RIBBON APR1 ZEBRA 110MM X 450M,APR1 Zebra 110×450,ATIVO,96121000,UN,UN,1,60
EMB-TUB-004,EMB,EMB-TUB,"TUBETE 63X25,7X2 MM","63×25,7×2",ATIVO,48229000,UN,UN,1,70
EMB-TUB-005,EMB,EMB-TUB,"TUBETE 60X25,7X2 MM","60×25,7×2",ATIVO,48229000,UN,UN,1,70
EMB-TUB-006,EMB,EMB-TUB,"TUBETE 55X25,7X2 MM","55×25,7×2",ATIVO,48229000,UN,UN,1,70
EMB-TUB-007,EMB,EMB-TUB,"TUBETE 50X25,7X2 MM","50×25,7×2",ATIVO,48229000,UN,UN,1,70
EMB-TUB-008,EMB,EMB-TUB,"TUBETE 41X25,7X2 MM","41×25,7×2",ATIVO,48229000,UN,UN,1,70
EMB-TUB-009,EMB,EMB-TUB,"TUBETE 20X76,2X3 MM","20×76,2×3",ATIVO,48229000,UN,UN,1,70
EMB-TUB-010,EMB,EMB-TUB,"TUBETE 25X76,2X3 MM","25×76,2×3",ATIVO,48229000,UN,UN,1,70
MP-TIN-027,MP,MP-TIN,PERFECT CLEANER FLOTADOR,Perfect Cleaner flotador,ATIVO,34024900,L,L,1,50
