"ANOPROCESSO";"CHAVE";"DSHABILITACAO";"DTABERTURA";"DTHABILITACAO";"DTHOMOLOGACAO";"DTJULGAMENTO";"EMPRESA";"MODALIDADE";"OBJETO";"PROCESSO";"SITUACAO";"SOLICITANTE";"VALORLICITACAO"
"2026";"";"EMPRESA HABILITADA CONFORME PROCESSO CONDUZIDO NA PLATAFORMA COMPRASNET.";"2026-02-10 15:00:00.0";"";"";"";"Ag. Reg. dos Serv. Saneamento Básico de Uberlândia";"COMPRA DIRETA";"Contratação de empresa especializada na prestação de serviços de emissão, sob demanda, de novos certificados digitais (e-CPF, bem como as suas renovações, e a renovação da validade do certificado digital tipo E-CNPJ da ARESAN.";"4";"Concluído";"AG. DE REGULAÇÃO DOS SERV. DE SAN. BÁSIC";""
"2026";"";"";"2026-01-27 00:00:00.0";"2026-01-27 00:00:00.0";"2026-02-02 00:00:00.0";"2026-01-27 00:00:00.0";"Ag. Reg. dos Serv. Saneamento Básico de Uberlândia";"INEXIGIBILIDADE";"Contratação da prestação de serviços de assessoria técnica especializada, de natureza continuada, para o desenvolvimento e execução das atividades de regulação de serviços de saneamento básico exercidas pela Agência de Regulação dos Serviços de Saneamento Básico de Uberlândia ¿ ARESAN UBERLÂNDIA, no âmbito territorial de sua atuação.";"3";"Concluído";"AG. DE REGULAÇÃO DOS SERV. DE SAN. BÁSIC";"R$ 226.080,0"
"2026";"";"Os atos referentes ao processo licitatório estão em anexo.";"2026-06-08 09:00:00.0";"";"";"";"Departamento Municipal de Agua e Esgoto";"PREGÃO ELETRÔNICO";"Contratação de empresa para aquisição de areia média lavada, brita nº 0 e brita nº 1, a serem utilizados pelas equipes das obras, manutenções e reparos nas redes de drenagens. Maiores informações anexas ao edital que está disponível no site de Compras Gov - www.gov.br/compras/pt-br. ";"78";"Em andamento";"DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO";""
"2026";"";"Os atos referentes ao processo licitatório estão em anexo.";"2026-06-08 00:00:00.0";"";"";"";"Departamento Municipal de Agua e Esgoto";"PREGÃO ELETRÔNICO";"Aquisição de postes de eucalipto tratado para construção de cerca paraguaia em Áreas de Preservação Permanente (APP) no âmbito do Programa Buriti. Maiores informações anexas ao edital que está disponível no site de Compras Gov - www.gov.br/compras/pt-br. ";"77";"Em andamento";"DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO";""
"2026";"";"";"2026-05-26 08:00:00.0";"";"";"";"Departamento Municipal de Agua e Esgoto";"PROCESSO DE DISPENSA";"(COMPRASGOV N° 49/2026): Aquisição de 04 (quatro) radiocomunicadores portáteis (rádios transceptores tipo HT) destinados ao Programa Buriti ¿ DMAE, para apoio às atividades de campo e demais demandas operacionais conforme Termo de Referência. ";"76";"Em andamento";"DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO";""
"2026";"";"";"2026-05-25 08:00:00.0";"";"";"";"Departamento Municipal de Agua e Esgoto";"PROCESSO DE DISPENSA";"(Nº COMPRASGOV: 47/26).Contratação exclusiva de ME, EPP ou equiparadas para aquisição de corante líquido para o Núcleo de Vistoria e Fiscalizações PREMEND. ";"71";"Em andamento";"DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO";""
"2026";"";"Os atos referentes ao processo licitatório estão em anexo.";"2026-05-29 09:00:00.0";"";"";"";"Departamento Municipal de Agua e Esgoto";"PREGÃO ELETRÔNICO";"Contratação de empresa para aquisição de alicate prensa terminal 380 mm. Maiores informações anexas ao edital que está disponível no site de Compras Gov - www.gov.br/compras/pt-br. ";"70";"Em andamento";"DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO";""
"2026";"";"";"2026-05-25 08:00:00.0";"";"";"";"Departamento Municipal de Agua e Esgoto";"PROCESSO DE DISPENSA";"(Comprasgov: 46/26). Contratação exclusiva de ME, EPP ou equiparadas para prestação de serviços de recarga, manutenção e inspeção de extintores de incêndio, conforme o Termo de Referência.";"69";"Em andamento";"DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO";""
"2026";"";"";"2026-05-19 08:00:00.0";"";"";"";"Departamento Municipal de Agua e Esgoto";"INEXIGIBILIDADE";"Nº COMPRASGOV:42/26).Contratação exclusiva de ME, EPP ou equiparadas para aquisição de persiana blackout conforme especificações, quantidades e exigências estabelecidas no Termo de Referência.  ";"68";"Em andamento";"DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO";""
"2026";"";"";"2026-05-19 08:00:00.0";"";"";"";"Departamento Municipal de Agua e Esgoto";"INEXIGIBILIDADE";"Nº COMPRASGOV:42/26).Contratação exclusiva de ME, EPP ou equiparadas para aquisição de persiana blackout conforme especificações, quantidades e exigências estabelecidas no Termo de Referência.  ";"68";"Em andamento";"DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO";""
