ANOOBRA;DATAFIMOBRA;DATAINICIOOBRA;DOCUMENTOLICITACAO;DOCUMENTOOBRA;EMPRESA;OBRA;PERCENTUALCONCLUIDO;SITUACAO;VALORTOTALGASTO;VALORTOTALOBRA
2025;2026-08-25;2025-11-25;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=CP%20307/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13988;MY ENGENHARIA E PRESTACAO DE SERVICOS LTDA;CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA EXECUÇÃO DE OBRAS DE CONSTRUÇÃO DE INFRAESTRUTURA ESPORTIVA NO BAIRRO MORUMBI, LOCALIZADA NA RUA JURUBEBA ESQUINA COM AV. JAMES SIQUEIRA NO BAIRRO MORUMBI, EM UBERLÂNDIA-MG. Requisições nº 33012, 33016, 33041 e 33045/2025."
;19.8%;Iniciada;530734.65;2679124.09
2025;;;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=3&licitacao=PD%209/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13663;RV EMPREENDIMENTOS COMERCIAIS LTDA;Contratação de empresa especializada em serviços de engenharia, para execução de restauração da fachada, incluindo a pintura de toda a área externa e da calçada, recuperação dos brises e das esquadrias de madeira e de metal da fachada, limpeza e pintura, identificação e reparo dos danos de infiltração por trás da parede de Drywall da sala de reuniões, vedação da janela atrás do revestimento de Drywall da sala de reuniões, pintura interna da sala de reuniões da sede do Instituto de Previdência dos Servidores Públicos do Município de Uberlândia - IPREMU, localizado na rua Bernardo Guimarães, 125, centro, em Uberlândia - MG.;100.0%;Concluída e recebida definitivamente;48750.00;48750.00
2025;2026-04-02;2025-08-20;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PE%20201/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13783;BDT ENGENHARIA LTDA;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE REPAROS PREVENTIVOS E CORRETIVOS, INSTALAÇÕES, ADAPTAÇÕES, RECUPERAÇÃO E MODERNIZAÇÃO DE EDIFICAÇÕES E DEMAIS INSTALAÇÕES, EM UBERLÂNDIA-MG;2.3%;Iniciada;2118662.44;90162755.43
2025;2026-08-25;2025-08-25;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=CP%20156/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13583;EDCON COMERCIO E CONSTRUCOES LTDA;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE UM TERMINAL DE ÔNIBUS NO SETOR SUL DA CIDADE, LOCALIZADA NA AVENIDA LIDORMIRA BORGES DO NASCIMENTO, BAIRRO GÁVEA EM UBERLÂNDIA-MG;21.6%;Iniciada;8246229.41;38247960.84
2025;2025-10-07;2025-02-10;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PE%20597/2023;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13306;VORTEX CONSTRUCOES E ENGENHARIA LTDA;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ENGENHARIA E ARQUITETURA DESTINADOS A ELABORAÇÃO DE PROJETOS DE ADEQUAÇÕES DO PROJETO DE PREVENÇÃO E COMBATE A INCÊNDIO DA SEDE ADMINISTRATIVA DA SETTRAN, LOCALIZADA NA RUA MARTINÉSIA, 245, CENTRO, EM UBERLÂNDIA-MG. Requisição nº  7328 / 2025.;89.3%;Iniciada;50541.18;56599.72
2025;2058-08-09;2025-02-10;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PE%20597/2023;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13303;VORTEX CONSTRUCOES E ENGENHARIA LTDA;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ENGENHARIA E ARQUITETURA DESTINADOS A ELABORAÇÃO DE PROJETOS PADRÃO ESCOLA DE ENSINO INFANTIL A SER IMPLANTADO EM DIVERSOS ENDEREÇOS, EM UBERLÂNDIA-MG. Requisição nº 7315/2025.;100.0%;Iniciada;176661.20;176661.20
2025;2025-10-10;2025-02-10;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PE%20597/2023;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13305;VORTEX CONSTRUCOES E ENGENHARIA LTDA;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ENGENHARIA E ARQUITETURA DESTINADOS A ELABORAÇÃO DE PROJETOS PARA REFORMA E ADEQUAÇÕES NA E.M.E.I DO BAIRRO ROOSEVELT, LOCALIZADA NA RUA JOAQUIM JUSTINO FERNANDES, Nº 319, BAIRRO ROOSEVELT EM UBERLÂNDIA-MG. Requisição nº 7326 / 2025."
;100.0%;Iniciada;72858.00;72858.00
2025;2058-08-09;2025-02-10;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PE%20597/2023;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13304;VORTEX CONSTRUCOES E ENGENHARIA LTDA;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ENGENHARIA E ARQUITETURA DESTINADOS A ELABORAÇÃO DE PROJETOS PARA REFORMA E ADEQUAÇÕES NA E.M.E.I DO PATRIMÔNIO, LOCALIZADA NA RUA BOCAIÚVA, Nº 10, BAIRRO PATRIMÔNIO, EM UBERLÂNDIA-MG. Requisição nº 7317 / 2025.;99.5%;Iniciada;105996.64;106513.34
2025;2026-04-20;2025-05-20;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PD%20146/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13283;TRIUM CONSTRUTORA LTDA;CONTRATAÇÃO DO REMANESCENTE DA OBRA DE CONSTRUÇÃO DA ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFª MARIA JOSÉ MAMEDE MOREIRA. LOCALIZAÇÃO: RUA DO GARÇON, Nº 101, BAIRRO SÃO JORGE / VALOR GLOBAL DO REMANESCENTE COM REAJUSTE: R$2.009.717,59"
;84.0%;Iniciada;1902318.43;2263639.11
